Table,Column,Missing_Count,Missing_Percentage
invoices,po_id,1496,17.33
suppliers,tax_id,18,5.62
suppliers,supplier_id,0,0.0
suppliers,supplier_name,0,0.0
suppliers,supplier_category,0,0.0
suppliers,supplier_country,0,0.0
suppliers,onboarding_date,0,0.0
suppliers,payment_terms_days,0,0.0
suppliers,bank_account,0,0.0
departments,department_id,0,0.0
departments,department_name,0,0.0
departments,business_unit,0,0.0
departments,approval_threshold,0,0.0
purchase_orders,po_id,0,0.0
purchase_orders,supplier_id,0,0.0
purchase_orders,department_id,0,0.0
purchase_orders,po_date,0,0.0
purchase_orders,po_amount,0,0.0
purchase_orders,approval_status,0,0.0
purchase_orders,buyer,0,0.0
invoices,invoice_id,0,0.0
invoices,invoice_number,0,0.0
invoices,supplier_id,0,0.0
invoices,department_id,0,0.0
invoices,invoice_date,0,0.0
invoices,invoice_amount,0,0.0
invoices,currency,0,0.0
invoices,payment_terms_days,0,0.0
invoices,due_date,0,0.0
invoices,invoice_status,0,0.0
payments,payment_id,0,0.0
payments,invoice_id,0,0.0
payments,supplier_id,0,0.0
payments,department_id,0,0.0
payments,payment_date,0,0.0
payments,payment_amount,0,0.0
payments,payment_method,0,0.0
payments,payment_status,0,0.0
